Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
   0.00  -9999.    297.08   100.00      0.00      0.00         52.3   1012.24    297.08    18.59       0.00      0.00 1  -9999.  -9999.   -76.8755    39.0563  -9999.  -9999.  -9999.
   0.59  -9999.    296.99    90.38      0.40      0.84         57.9   1011.60    295.32    16.69     244.70      0.93 1  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   1.59  -9999.    297.35    87.93      0.58      1.36         62.0   1011.12    295.23    16.60     246.68      1.48 1  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   2.59  -9999.    297.97    84.25      0.65      1.66         66.0   1010.66    295.14    16.51     248.57      1.79 1  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   3.59  -9999.    299.01    79.11      0.65      1.86         72.1   1009.96    295.13    16.51     250.80      1.97 1  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   4.59  -9999.    299.49    75.39      0.61      2.03         78.6   1009.22    294.80    16.19     253.27      2.11 1  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   5.59  -9999.    299.56    74.01      0.56      2.20         85.0   1008.49    294.58    15.97     255.82      2.27 1  -9999.  -9999.   -76.8756    39.0565  -9999.  -9999.  -9999.
   6.59  -9999.    299.64    73.35      0.49      2.39         89.8   1008.05    294.51    15.91     258.36      2.44 1  -9999.  -9999.   -76.8756    39.0565  -9999.  -9999.  -9999.
   7.59  -9999.    299.77    72.48      0.42      2.60         94.6   1007.45    294.44    15.85     260.85      2.64 1  -9999.  -9999.   -76.8756    39.0565  -9999.  -9999.  -9999.
   8.59  -9999.    299.96    71.54      0.33      2.82         97.9   1006.84    294.41    15.83     263.34      2.84 1  -9999.  -9999.   -76.8756    39.0565  -9999.  -9999.  -9999.
   9.59  -9999.    300.13    70.92      0.22      3.04        102.7   1006.23    294.43    15.85     265.84      3.04 1  -9999.  -9999.   -76.8755    39.0566  -9999.  -9999.  -9999.
  10.59  -9999.    300.19    70.61      0.09      3.26        110.1   1005.61    294.41    15.85     268.34      3.26 1  -9999.  -9999.   -76.8755    39.0566  -9999.  -9999.  -9999.
  11.59  -9999.    300.24    70.35     -0.05      3.48        116.9   1004.99    294.40    15.85     270.81      3.48 1  -9999.  -9999.   -76.8755    39.0566  -9999.  -9999.  -9999.
  12.59  -9999.    300.27    70.18     -0.21      3.70        121.5   1004.38    294.39    15.85     273.25      3.71 1  -9999.  -9999.   -76.8754    39.0566  -9999.  -9999.  -9999.
  13.59  -9999.    300.24    70.15     -0.39      3.93        128.1   1003.77    294.36    15.83     275.64      3.95 1  -9999.  -9999.   -76.8754    39.0566  -9999.  -9999.  -9999.
  14.59  -9999.    300.23    70.08     -0.58      4.15        132.5   1003.18    294.33    15.81     277.98      4.19 1  -9999.  -9999.   -76.8753    39.0566  -9999.  -9999.  -9999.
